# $Id: widgets.txt,v 1.2 2003/06/26 11:51:08 rda Exp rda $
# format: full.widget.name	WidgetClassName
# N.b., it is conventional to use the application class name "Xpp"
# not the application name "xpp" in resource files
# Use a "*" as a wildcard to match zero or more components of a resource name
# Use a "?" as a wildcard for exactly one component of a resource name.
# E.g.,
#	 "Xpp*copy.foreground: red" makes the copy item in all the edit menus red
# 	"Xpp*journal*copy.foreground: red" makes the copy item in the journal popup edit menu only red
#	"Xpp*popup-edit-menu.copy.foreground: red" makes the copy item in all the popup edit menus red
# Motif separator and sash widgets are not listed.
xpp	ApplicationShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC5	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC6	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC7	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC8	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC9	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charCA	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charCB	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charCC	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charCD	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charCE	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charCF	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD0	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD1	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD2	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD3	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD4	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD5	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD6	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD7	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD8	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charD9	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charDA	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charDB	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charDC	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charDD	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charDE	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charDF	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE0	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE1	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE2	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE3	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE4	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE5	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE6	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE7	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE8	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charE9	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charEA	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charEB	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charEC	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charED	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charEE	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charEF	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF0	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF1	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF2	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF3	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF4	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF5	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF6	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF7	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF8	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charF9	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charFA	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charFB	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charFC	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charFD	XmPushButtonGadget
